suite_size,killed_105,score_105,killed_11,score_11
14,176,70.4,150,60
8,168,67.2,142,56.8
15,182,72.8,156,62.4
16,185,74,160,64
10,178,71.2,151,60.4
9,183,73.2,157,62.8
14,182,72.8,156,62.4
13,173,69.2,147,58.8
10,181,72.4,153,61.2
17,182,72.8,157,62.8
12,183,73.2,156,62.4
11,178,71.2,153,61.2
14,180,72,154,61.6
12,176,70.4,150,60
10,175,70,149,59.6
11,183,73.2,157,62.8
6,167,66.8,139,55.6
12,174,69.6,146,58.4
8,166,66.4,140,56
12,176,70.4,150,60
11,175,70,150,60
12,185,74,160,64
17,174,69.6,149,59.6
14,173,69.2,147,58.8
12,177,70.8,152,60.8
16,180,72,155,62
10,181,72.4,156,62.4
10,180,72,155,62
14,174,69.6,148,59.2
15,176,70.4,150,60
12,178,71.2,150,60
10,171,68.4,145,58
10,179,71.6,152,60.8
16,170,68,143,57.2
8,178,71.2,151,60.4
11,173,69.2,145,58
11,173,69.2,144,57.6
15,169,67.6,143,57.2
13,182,72.8,154,61.6
8,172,68.8,145,58
