criterion,suite_size,score_11,score_105,obc,killed_11,killed_105
mcdc,29.55,60.89,71.62,,152.22,179.05
obc_o0_J,8.75,54.79,65.28,82.0,136.98,163.2
obc_o0_JSMB,11.92,60.66,71.19,86.76,151.65,177.98
obc_o1_J,11.8,60.63,71.08,82.0,151.57,177.7
obc_o1_JSMB,12.22,60.52,71.03,82.35,151.3,177.58
obc_o2_J,12.7,60.71,71.12,82.0,151.78,177.8
obc_o2_JSMB,11.95,59.91,70.43,82.35,149.78,176.08
obc_o3_J,11.38,59.82,70.36,82.0,149.55,175.9
obc_o3_JSMB,11.85,60.77,71.18,82.35,151.93,177.95
obc_os_J,12.15,60.67,71.28,82.0,151.68,178.2
obc_os_JSMB,11.98,60.17,70.68,82.35,150.43,176.7
