suite_size,killed_105,score_105,killed_11,score_11
32,177,70.8,151,60.4
31,177,70.8,150,60
29,190,76,163,65.2
29,173,69.2,144,57.6
31,182,72.8,156,62.4
30,179,71.6,152,60.8
34,183,73.2,158,63.2
30,179,71.6,153,61.2
29,179,71.6,152,60.8
29,184,73.6,158,63.2
30,174,69.6,147,58.8
31,180,72,155,62
29,176,70.4,150,60
25,195,78,169,67.6
28,179,71.6,152,60.8
28,172,68.8,146,58.4
28,175,70,146,58.4
36,178,71.2,150,60
28,176,70.4,147,58.8
30,185,74,159,63.6
32,177,70.8,150,60
32,187,74.8,162,64.8
27,177,70.8,150,60
31,182,72.8,157,62.8
27,171,68.4,142,56.8
31,178,71.2,153,61.2
29,181,72.4,151,60.4
30,172,68.8,145,58
29,173,69.2,147,58.8
28,173,69.2,149,59.6
30,187,74.8,161,64.4
27,181,72.4,155,62
28,187,74.8,159,63.6
26,170,68,141,56.4
29,180,72,154,61.6
29,186,74.4,160,64
29,190,76,160,64
30,179,71.6,153,61.2
34,191,76.4,167,66.8
30,176,70.4,149,59.6
