suite_size,killed_105,score_105,killed_11,score_11
4,159,63.6,132,52.8
4,154,61.6,127,50.8
5,146,58.4,117,46.8
5,151,60.4,126,50.4
6,161,64.4,134,53.6
5,156,62.4,129,51.6
6,152,60.8,128,51.2
6,154,61.6,129,51.6
5,150,60,121,48.4
4,144,57.6,118,47.2
5,155,62,128,51.2
6,155,62,129,51.6
5,153,61.2,126,50.4
5,151,60.4,126,50.4
3,150,60,120,48
9,159,63.6,132,52.8
4,157,62.8,129,51.6
4,171,68.4,143,57.2
5,157,62.8,130,52
7,157,62.8,131,52.4
6,164,65.6,137,54.8
6,159,63.6,134,53.6
6,159,63.6,132,52.8
6,159,63.6,131,52.4
8,160,64,135,54
6,165,66,139,55.6
5,168,67.2,142,56.8
2,160,64,133,53.2
5,149,59.6,125,50
5,153,61.2,127,50.8
3,143,57.2,116,46.4
4,173,69.2,147,58.8
4,153,61.2,123,49.2
5,157,62.8,133,53.2
3,150,60,123,49.2
4,156,62.4,128,51.2
3,144,57.6,116,46.4
7,167,66.8,141,56.4
8,159,63.6,132,52.8
6,153,61.2,129,51.6
