suite_size,killed_105,score_105,killed_11,score_11
5,143,57.2,117,46.8
4,156,62.4,130,52
6,150,60,123,49.2
3,154,61.6,126,50.4
5,157,62.8,130,52
10,165,66,139,55.6
5,140,56,113,45.2
3,148,59.2,123,49.2
9,152,60.8,124,49.6
5,169,67.6,144,57.6
3,158,63.2,130,52
5,153,61.2,127,50.8
5,155,62,131,52.4
4,157,62.8,131,52.4
3,165,66,137,54.8
5,151,60.4,123,49.2
7,155,62,128,51.2
5,153,61.2,124,49.6
6,158,63.2,129,51.6
8,157,62.8,132,52.8
4,160,64,133,53.2
4,148,59.2,121,48.4
6,157,62.8,131,52.4
5,152,60.8,126,50.4
4,154,61.6,130,52
3,154,61.6,125,50
5,151,60.4,124,49.6
3,155,62,128,51.2
2,147,58.8,116,46.4
6,148,59.2,123,49.2
5,153,61.2,125,50
6,145,58,120,48
3,146,58.4,120,48
4,149,59.6,122,48.8
3,156,62.4,128,51.2
3,146,58.4,118,47.2
5,150,60,122,48.8
5,173,69.2,147,58.8
4,148,59.2,123,49.2
4,160,64,131,52.4
