suite_size,killed_105,score_105,killed_11,score_11
2,105,42,77,30.8
1,142,56.8,110,44
1,118,47.2,88,35.2
1,116,46.4,87,34.8
3,108,43.2,73,29.2
1,103,41.2,73,29.2
1,131,52.4,100,40
1,55,22,24,9.6
1,90,36,62,24.8
2,131,52.4,100,40
1,117,46.8,90,36
2,124,49.6,96,38.4
2,144,57.6,113,45.2
1,132,52.8,102,40.8
1,104,41.6,79,31.6
1,76,30.4,45,18
1,142,56.8,110,44
1,95,38,68,27.2
2,107,42.8,77,30.8
1,112,44.8,83,33.2
1,129,51.6,99,39.6
2,80,32,46,18.4
1,66,26.4,36,14.4
1,103,41.2,73,29.2
1,97,38.8,70,28
3,78,31.2,46,18.4
1,113,45.2,88,35.2
1,75,30,40,16
1,102,40.8,73,29.2
1,90,36,57,22.8
1,99,39.6,71,28.4
1,62,24.8,28,11.2
2,82,32.8,51,20.4
1,125,50,97,38.8
2,122,48.8,92,36.8
1,142,56.8,110,44
1,107,42.8,74,29.6
1,72,28.8,38,15.2
2,142,56.8,113,45.2
1,98,39.2,63,25.2
