suite_size,killed_105,score_105,killed_11,score_11
1,128,51.2,98,39.2
4,134,53.6,107,42.8
3,157,62.8,127,50.8
5,144,57.6,119,47.6
7,150,60,126,50.4
2,153,61.2,123,49.2
1,118,47.2,88,35.2
4,145,58,115,46
6,155,62,130,52
3,131,52.4,100,40
3,129,51.6,101,40.4
4,137,54.8,104,41.6
3,139,55.6,109,43.6
3,150,60,122,48.8
5,144,57.6,114,45.6
2,146,58.4,116,46.4
6,155,62,127,50.8
3,142,56.8,114,45.6
4,138,55.2,108,43.2
3,140,56,112,44.8
3,152,60.8,123,49.2
5,159,63.6,129,51.6
7,151,60.4,125,50
4,165,66,138,55.2
4,158,63.2,131,52.4
2,138,55.2,111,44.4
4,149,59.6,119,47.6
5,156,62.4,131,52.4
5,155,62,129,51.6
4,156,62.4,125,50
7,148,59.2,123,49.2
5,150,60,123,49.2
6,146,58.4,119,47.6
5,152,60.8,125,50
5,154,61.6,127,50.8
4,144,57.6,113,45.2
5,164,65.6,137,54.8
1,118,47.2,88,35.2
5,161,64.4,131,52.4
4,144,57.6,114,45.6
