criterion,suite_size,score_11,score_105,obc,killed_11,killed_105
mcdc,29.62,61.23,71.91,,153.07,179.78
obc_o0_J,5.12,51.78,62.43,97.89,129.45,156.07
obc_o0_JSMB,7.5,54.52,64.69,87.77,136.3,161.72
obc_o1_J,1.82,34.32,45.84,71.05,85.8,114.6
obc_o1_JSMB,4.75,50.2,60.78,55.97,125.5,151.95
obc_o2_J,1.6,27.98,39.9,58.33,69.95,99.75
obc_o2_JSMB,4.8,50.76,61.4,49.2,126.9,153.5
obc_o3_J,1.45,28.07,39.77,58.33,70.18,99.42
obc_o3_JSMB,4.75,50.74,61.48,49.2,126.85,153.7
obc_os_J,1.32,30.22,42.36,66.67,75.55,105.9
obc_os_JSMB,4.05,47.21,58.55,53.2,118.02,146.38
