suite_size,killed_105,score_105,killed_11,score_11
31,182,72.8,158,63.2
28,177,70.8,152,60.8
33,173,69.2,144,57.6
30,178,71.2,153,61.2
34,188,75.2,161,64.4
29,177,70.8,150,60
29,170,68,143,57.2
29,173,69.2,150,60
27,174,69.6,145,58
27,183,73.2,157,62.8
30,185,74,155,62
31,177,70.8,154,61.6
29,172,68.8,144,57.6
29,190,76,165,66
32,187,74.8,160,64
31,178,71.2,152,60.8
27,180,72,156,62.4
30,174,69.6,145,58
27,169,67.6,143,57.2
26,183,73.2,155,62
31,181,72.4,158,63.2
29,187,74.8,158,63.2
29,185,74,159,63.6
30,179,71.6,150,60
28,183,73.2,159,63.6
27,190,76,164,65.6
26,179,71.6,152,60.8
31,189,75.6,163,65.2
24,174,69.6,148,59.2
29,172,68.8,145,58
26,177,70.8,151,60.4
29,171,68.4,145,58
28,178,71.2,154,61.6
29,184,73.6,158,63.2
30,182,72.8,156,62.4
28,182,72.8,157,62.8
28,176,70.4,150,60
27,182,72.8,156,62.4
30,180,72,154,61.6
28,184,73.6,161,64.4
