suite_size,killed_105,score_105,killed_11,score_11
14,165,66,138,55.2
10,166,66.4,139,55.6
13,176,70.4,151,60.4
7,157,62.8,131,52.4
10,163,65.2,137,54.8
13,160,64,134,53.6
14,175,70,149,59.6
7,157,62.8,131,52.4
9,161,64.4,136,54.4
12,174,69.6,147,58.8
12,164,65.6,136,54.4
14,167,66.8,143,57.2
12,161,64.4,136,54.4
12,169,67.6,141,56.4
11,161,64.4,134,53.6
9,163,65.2,135,54
13,168,67.2,145,58
6,161,64.4,133,53.2
8,172,68.8,145,58
17,183,73.2,158,63.2
12,173,69.2,147,58.8
8,151,60.4,130,52
9,164,65.6,139,55.6
11,167,66.8,142,56.8
13,171,68.4,146,58.4
15,171,68.4,142,56.8
11,169,67.6,145,58
14,181,72.4,155,62
7,160,64,133,53.2
9,151,60.4,123,49.2
6,161,64.4,135,54
16,180,72,154,61.6
11,166,66.4,142,56.8
9,154,61.6,128,51.2
11,169,67.6,140,56
10,180,72,154,61.6
8,164,65.6,140,56
10,173,69.2,148,59.2
8,157,62.8,128,51.2
10,156,62.4,131,52.4
