suite_size,killed_105,score_105,killed_11,score_11
12,160,64,133,53.2
11,169,67.6,142,56.8
11,181,72.4,155,62
10,160,64,135,54
11,177,70.8,151,60.4
13,164,65.6,136,54.4
11,158,63.2,131,52.4
10,172,68.8,146,58.4
13,187,74.8,161,64.4
11,162,64.8,136,54.4
11,169,67.6,145,58
9,175,70,149,59.6
8,171,68.4,145,58
15,181,72.4,153,61.2
10,168,67.2,143,57.2
15,164,65.6,140,56
11,160,64,131,52.4
13,174,69.6,148,59.2
12,183,73.2,157,62.8
10,177,70.8,151,60.4
15,168,67.2,143,57.2
9,175,70,149,59.6
15,178,71.2,152,60.8
11,158,63.2,133,53.2
10,184,73.6,157,62.8
11,167,66.8,140,56
12,167,66.8,140,56
10,166,66.4,142,56.8
13,174,69.6,145,58
16,181,72.4,155,62
13,169,67.6,143,57.2
13,170,68,143,57.2
13,173,69.2,146,58.4
10,157,62.8,131,52.4
13,166,66.4,140,56
9,161,64.4,137,54.8
15,172,68.8,148,59.2
13,160,64,136,54.4
15,181,72.4,154,61.6
14,178,71.2,151,60.4
