suite_size,killed_105,score_105,killed_11,score_11
8,176,70.4,148,59.2
15,167,66.8,138,55.2
15,167,66.8,139,55.6
7,154,61.6,128,51.2
9,171,68.4,144,57.6
14,166,66.4,137,54.8
10,160,64,135,54
6,171,68.4,143,57.2
11,160,64,133,53.2
12,172,68.8,144,57.6
13,176,70.4,151,60.4
10,168,67.2,142,56.8
9,168,67.2,143,57.2
8,156,62.4,129,51.6
11,168,67.2,141,56.4
10,161,64.4,133,53.2
13,172,68.8,147,58.8
13,164,65.6,136,54.4
8,160,64,132,52.8
7,165,66,139,55.6
10,162,64.8,136,54.4
14,165,66,142,56.8
7,162,64.8,133,53.2
7,164,65.6,138,55.2
12,171,68.4,145,58
10,173,69.2,147,58.8
8,163,65.2,136,54.4
13,174,69.6,149,59.6
14,169,67.6,144,57.6
13,168,67.2,143,57.2
11,158,63.2,133,53.2
12,168,67.2,141,56.4
11,169,67.6,140,56
12,163,65.2,137,54.8
13,171,68.4,144,57.6
8,162,64.8,137,54.8
10,167,66.8,144,57.6
12,164,65.6,137,54.8
11,168,67.2,143,57.2
8,160,64,135,54
