suite_size,killed_105,score_105,killed_11,score_11
9,174,69.6,149,59.6
12,164,65.6,135,54
9,162,64.8,135,54
9,169,67.6,143,57.2
10,171,68.4,145,58
12,165,66,137,54.8
9,166,66.4,140,56
9,167,66.8,141,56.4
12,157,62.8,130,52
12,167,66.8,142,56.8
9,160,64,134,53.6
11,176,70.4,149,59.6
10,159,63.6,133,53.2
15,174,69.6,148,59.2
8,163,65.2,135,54
13,165,66,138,55.2
9,160,64,134,53.6
7,164,65.6,138,55.2
9,168,67.2,142,56.8
8,163,65.2,137,54.8
10,165,66,139,55.6
8,158,63.2,131,52.4
14,173,69.2,149,59.6
13,169,67.6,143,57.2
10,162,64.8,134,53.6
6,155,62,127,50.8
12,164,65.6,138,55.2
16,166,66.4,142,56.8
11,173,69.2,147,58.8
11,167,66.8,141,56.4
14,172,68.8,146,58.4
10,169,67.6,140,56
12,164,65.6,140,56
10,179,71.6,150,60
12,171,68.4,144,57.6
10,166,66.4,140,56
8,165,66,138,55.2
11,173,69.2,146,58.4
8,168,67.2,142,56.8
9,168,67.2,144,57.6
