criterion,suite_size,score_11,score_105,obc,killed_11,killed_105
mcdc,28.9,61.4,71.85,,153.5,179.62
obc_o0_J,13.05,60.74,71.25,84.69,151.85,178.12
obc_o0_JSMB,12.3,60.81,71.25,85.0,152.02,178.12
obc_o1_J,10.78,56.01,66.41,80.43,140.02,166.02
obc_o1_JSMB,11.92,57.73,68.17,80.39,144.32,170.42
obc_o2_J,10.6,56.77,67.35,68.48,141.93,168.38
obc_o2_JSMB,10.98,57.23,67.85,68.27,143.07,169.62
obc_o3_J,10.07,55.8,66.36,68.48,139.5,165.9
obc_o3_JSMB,10.55,56.57,67.09,68.27,141.43,167.72
obc_os_J,10.62,55.86,66.43,68.48,139.65,166.08
obc_os_JSMB,10.42,56.06,66.61,68.27,140.15,166.52
