suite_size,killed_105,score_105,killed_11,score_11
33,185,74,157,62.8
28,173,69.2,146,58.4
32,184,73.6,160,64
32,172,68.8,148,59.2
30,185,74,159,63.6
32,185,74,157,62.8
30,178,71.2,151,60.4
34,178,71.2,151,60.4
32,181,72.4,156,62.4
29,173,69.2,144,57.6
29,177,70.8,148,59.2
30,178,71.2,149,59.6
27,183,73.2,158,63.2
31,179,71.6,153,61.2
30,188,75.2,163,65.2
31,186,74.4,161,64.4
29,174,69.6,146,58.4
28,188,75.2,161,64.4
33,182,72.8,157,62.8
31,181,72.4,156,62.4
27,180,72,151,60.4
31,189,75.6,163,65.2
28,182,72.8,155,62
28,184,73.6,159,63.6
28,177,70.8,154,61.6
34,174,69.6,145,58
27,186,74.4,158,63.2
29,177,70.8,148,59.2
25,175,70,147,58.8
29,174,69.6,149,59.6
29,182,72.8,152,60.8
32,181,72.4,152,60.8
31,178,71.2,149,59.6
31,175,70,151,60.4
28,178,71.2,154,61.6
32,181,72.4,156,62.4
27,177,70.8,152,60.8
29,178,71.2,151,60.4
31,182,72.8,152,60.8
29,180,72,153,61.2
