suite_size,killed_105,score_105,killed_11,score_11
5,153,61.2,129,51.6
7,167,66.8,140,56
7,165,66,139,55.6
7,160,64,135,54
4,160,64,132,52.8
7,164,65.6,135,54
6,169,67.6,142,56.8
8,171,68.4,143,57.2
8,160,64,136,54.4
6,159,63.6,135,54
7,161,64.4,135,54
7,154,61.6,130,52
6,170,68,144,57.6
7,158,63.2,128,51.2
6,162,64.8,135,54
7,164,65.6,135,54
8,166,66.4,139,55.6
7,157,62.8,133,53.2
7,159,63.6,134,53.6
6,157,62.8,130,52
8,161,64.4,134,53.6
6,172,68.8,146,58.4
8,153,61.2,126,50.4
4,150,60,123,49.2
9,166,66.4,142,56.8
7,153,61.2,128,51.2
6,167,66.8,140,56
7,148,59.2,123,49.2
5,165,66,138,55.2
9,168,67.2,142,56.8
6,150,60,125,50
7,165,66,139,55.6
6,165,66,135,54
6,175,70,150,60
6,166,66.4,141,56.4
7,150,60,125,50
6,165,66,141,56.4
8,160,64,133,53.2
6,150,60,124,49.6
8,176,70.4,150,60
