suite_size,killed_105,score_105,killed_11,score_11
4,142,56.8,117,46.8
5,155,62,131,52.4
5,144,57.6,117,46.8
4,141,56.4,107,42.8
4,154,61.6,127,50.8
2,152,60.8,122,48.8
4,152,60.8,123,49.2
4,136,54.4,112,44.8
6,146,58.4,115,46
6,138,55.2,109,43.6
4,166,66.4,139,55.6
3,146,58.4,115,46
4,144,57.6,117,46.8
3,148,59.2,117,46.8
2,150,60,122,48.8
5,158,63.2,134,53.6
4,145,58,116,46.4
2,152,60.8,122,48.8
6,150,60,120,48
6,159,63.6,136,54.4
5,144,57.6,116,46.4
3,141,56.4,116,46.4
4,157,62.8,125,50
4,136,54.4,108,43.2
3,155,62,131,52.4
4,144,57.6,117,46.8
6,157,62.8,129,51.6
3,144,57.6,117,46.8
3,148,59.2,122,48.8
3,127,50.8,97,38.8
3,134,53.6,106,42.4
6,146,58.4,120,48
4,140,56,113,45.2
6,137,54.8,109,43.6
3,136,54.4,108,43.2
6,149,59.6,122,48.8
4,171,68.4,144,57.6
6,141,56.4,116,46.4
2,134,53.6,105,42
4,142,56.8,115,46
