suite_size,killed_105,score_105,killed_11,score_11
2,125,50,96,38.4
1,134,53.6,105,42
2,126,50.4,96,38.4
4,135,54,107,42.8
6,117,46.8,87,34.8
5,111,44.4,75,30
3,138,55.2,107,42.8
3,156,62.4,127,50.8
3,116,46.4,88,35.2
3,128,51.2,97,38.8
4,138,55.2,110,44
4,150,60,121,48.4
2,114,45.6,86,34.4
4,107,42.8,77,30.8
2,118,47.2,91,36.4
3,129,51.6,90,36
2,132,52.8,99,39.6
3,127,50.8,100,40
2,130,52,102,40.8
1,142,56.8,110,44
3,129,51.6,99,39.6
3,148,59.2,119,47.6
3,125,50,97,38.8
1,98,39.2,63,25.2
2,144,57.6,115,46
5,146,58.4,116,46.4
2,124,49.6,96,38.4
1,112,44.8,83,33.2
3,119,47.6,85,34
2,124,49.6,96,38.4
1,129,51.6,98,39.2
5,138,55.2,109,43.6
3,136,54.4,103,41.2
2,131,52.4,101,40.4
2,118,47.2,91,36.4
1,129,51.6,98,39.2
3,121,48.4,92,36.8
3,148,59.2,119,47.6
2,130,52,101,40.4
3,127,50.8,95,38
