suite_size,killed_105,score_105,killed_11,score_11
3,161,64.4,135,54
4,144,57.6,118,47.2
4,155,62,128,51.2
7,160,64,133,53.2
3,146,58.4,117,46.8
5,162,64.8,134,53.6
4,152,60.8,124,49.6
6,156,62.4,132,52.8
6,145,58,118,47.2
4,144,57.6,115,46
5,143,57.2,118,47.2
4,161,64.4,132,52.8
2,144,57.6,116,46.4
8,152,60.8,126,50.4
3,140,56,112,44.8
6,162,64.8,137,54.8
3,138,55.2,111,44.4
6,156,62.4,128,51.2
6,159,63.6,134,53.6
3,149,59.6,123,49.2
8,169,67.6,142,56.8
4,160,64,134,53.6
5,149,59.6,126,50.4
8,153,61.2,127,50.8
5,155,62,131,52.4
6,162,64.8,138,55.2
4,157,62.8,129,51.6
8,159,63.6,132,52.8
4,159,63.6,133,53.2
5,154,61.6,128,51.2
6,165,66,136,54.4
6,159,63.6,134,53.6
4,146,58.4,118,47.2
5,149,59.6,123,49.2
5,137,54.8,110,44
3,159,63.6,130,52
4,147,58.8,121,48.4
3,150,60,124,49.6
3,156,62.4,129,51.6
4,147,58.8,120,48
