criterion,suite_size,score_11,score_105,obc,killed_11,killed_105
mcdc,29.9,61.32,72.0,,153.3,180.0
obc_o0_J,7.2,54.69,64.85,96.24,136.72,162.12
obc_o0_JSMB,7.38,55.08,65.2,87.68,137.7,163.0
obc_o1_J,3.7,44.97,56.29,66.67,112.42,140.72
obc_o1_JSMB,5.8,51.83,62.43,54.26,129.57,156.07
obc_o2_J,4.18,48.13,59.15,60.0,120.32,147.88
obc_o2_JSMB,6.7,54.14,64.61,52.52,135.35,161.52
obc_o3_J,4.12,47.54,58.61,57.69,118.85,146.52
obc_o3_JSMB,6.88,53.82,64.49,52.14,134.55,161.22
obc_os_J,2.72,39.47,51.49,77.27,98.68,128.72
obc_os_JSMB,4.8,50.56,61.21,61.79,126.4,153.02
