suite_size,killed_105,score_105,killed_11,score_11
28,184,73.6,156,62.4
30,181,72.4,154,61.6
30,193,77.2,168,67.2
32,192,76.8,162,64.8
28,175,70,149,59.6
31,174,69.6,150,60
28,187,74.8,161,64.4
33,193,77.2,168,67.2
30,184,73.6,158,63.2
34,177,70.8,151,60.4
30,185,74,159,63.6
37,179,71.6,150,60
28,188,75.2,160,64
33,180,72,154,61.6
30,184,73.6,154,61.6
29,184,73.6,159,63.6
32,184,73.6,157,62.8
28,179,71.6,150,60
30,176,70.4,152,60.8
31,178,71.2,153,61.2
26,187,74.8,162,64.8
29,176,70.4,149,59.6
33,180,72,153,61.2
29,192,76.8,162,64.8
30,178,71.2,153,61.2
32,187,74.8,161,64.4
32,190,76,164,65.6
34,181,72.4,154,61.6
32,172,68.8,145,58
28,173,69.2,148,59.2
34,180,72,154,61.6
33,181,72.4,155,62
30,178,71.2,152,60.8
33,178,71.2,152,60.8
28,178,71.2,152,60.8
31,175,70,148,59.2
30,175,70,150,60
30,185,74,159,63.6
27,173,69.2,143,57.2
29,177,70.8,148,59.2
