suite_size,killed_105,score_105,killed_11,score_11
12,170,68,144,57.6
12,173,69.2,146,58.4
12,178,71.2,151,60.4
14,182,72.8,156,62.4
12,171,68.4,144,57.6
15,173,69.2,147,58.8
13,175,70,147,58.8
12,176,70.4,151,60.4
12,182,72.8,157,62.8
11,178,71.2,152,60.8
12,175,70,149,59.6
14,186,74.4,159,63.6
14,177,70.8,153,61.2
13,175,70,150,60
9,174,69.6,148,59.2
12,187,74.8,162,64.8
10,180,72,154,61.6
12,185,74,160,64
9,172,68.8,144,57.6
16,177,70.8,150,60
15,174,69.6,149,59.6
12,182,72.8,155,62
9,179,71.6,153,61.2
16,180,72,155,62
15,180,72,153,61.2
16,183,73.2,157,62.8
16,180,72,155,62
12,183,73.2,156,62.4
14,175,70,149,59.6
14,184,73.6,159,63.6
11,174,69.6,148,59.2
16,178,71.2,154,61.6
12,175,70,147,58.8
14,182,72.8,157,62.8
15,181,72.4,156,62.4
11,169,67.6,143,57.2
9,170,68,144,57.6
10,174,69.6,148,59.2
15,185,74,160,64
11,171,68.4,145,58
