suite_size,killed_105,score_105,killed_11,score_11
15,190,76,164,65.6
13,171,68.4,144,57.6
15,187,74.8,162,64.8
7,176,70.4,150,60
15,183,73.2,157,62.8
13,179,71.6,151,60.4
11,179,71.6,152,60.8
11,172,68.8,145,58
8,170,68,143,57.2
17,182,72.8,157,62.8
9,171,68.4,144,57.6
12,178,71.2,153,61.2
15,179,71.6,154,61.6
9,179,71.6,154,61.6
7,174,69.6,148,59.2
15,177,70.8,152,60.8
14,174,69.6,148,59.2
9,181,72.4,156,62.4
11,179,71.6,153,61.2
12,183,73.2,157,62.8
12,176,70.4,149,59.6
10,173,69.2,147,58.8
17,185,74,159,63.6
16,175,70,149,59.6
12,170,68,144,57.6
12,180,72,154,61.6
13,180,72,152,60.8
10,175,70,149,59.6
10,181,72.4,156,62.4
11,174,69.6,148,59.2
14,178,71.2,151,60.4
11,180,72,154,61.6
10,169,67.6,143,57.2
14,179,71.6,152,60.8
12,178,71.2,151,60.4
12,178,71.2,152,60.8
11,176,70.4,150,60
11,174,69.6,149,59.6
13,179,71.6,151,60.4
13,180,72,154,61.6
