suite_size,killed_105,score_105,killed_11,score_11
8,169,67.6,142,56.8
11,179,71.6,152,60.8
8,170,68,145,58
9,176,70.4,151,60.4
10,179,71.6,154,61.6
9,177,70.8,151,60.4
9,175,70,149,59.6
8,167,66.8,141,56.4
7,169,67.6,143,57.2
9,171,68.4,142,56.8
10,179,71.6,152,60.8
8,172,68.8,147,58.8
10,176,70.4,149,59.6
11,179,71.6,154,61.6
9,170,68,145,58
8,176,70.4,148,59.2
12,175,70,148,59.2
11,179,71.6,153,61.2
12,187,74.8,161,64.4
8,168,67.2,142,56.8
7,171,68.4,145,58
6,167,66.8,139,55.6
7,168,67.2,140,56
6,169,67.6,144,57.6
12,179,71.6,154,61.6
10,169,67.6,143,57.2
10,175,70,148,59.2
11,170,68,146,58.4
11,186,74.4,161,64.4
10,169,67.6,143,57.2
5,166,66.4,139,55.6
10,174,69.6,147,58.8
8,175,70,148,59.2
7,172,68.8,146,58.4
11,177,70.8,151,60.4
9,169,67.6,142,56.8
8,170,68,144,57.6
9,167,66.8,142,56.8
5,162,64.8,135,54
10,178,71.2,153,61.2
