suite_size,killed_105,score_105,killed_11,score_11
8,174,69.6,148,59.2
7,180,72,155,62
6,173,69.2,146,58.4
10,177,70.8,151,60.4
9,169,67.6,141,56.4
12,176,70.4,150,60
9,175,70,149,59.6
8,166,66.4,139,55.6
10,174,69.6,148,59.2
8,176,70.4,150,60
12,173,69.2,146,58.4
7,169,67.6,143,57.2
12,172,68.8,146,58.4
6,174,69.6,148,59.2
10,173,69.2,149,59.6
6,170,68,143,57.2
13,177,70.8,151,60.4
13,178,71.2,153,61.2
12,179,71.6,154,61.6
9,174,69.6,147,58.8
10,175,70,149,59.6
12,178,71.2,151,60.4
11,173,69.2,147,58.8
7,166,66.4,140,56
14,183,73.2,158,63.2
9,173,69.2,146,58.4
9,176,70.4,149,59.6
10,176,70.4,150,60
9,175,70,149,59.6
11,167,66.8,139,55.6
12,178,71.2,152,60.8
9,168,67.2,142,56.8
11,164,65.6,138,55.2
7,173,69.2,146,58.4
7,178,71.2,151,60.4
9,169,67.6,141,56.4
8,170,68,144,57.6
9,176,70.4,151,60.4
9,181,72.4,156,62.4
8,169,67.6,143,57.2
