criterion,suite_size,score_11,score_105,obc,killed_11,killed_105
mcdc,30.55,61.89,72.53,,154.72,181.32
obc_o0_J,12.72,60.67,71.05,82.35,151.68,177.62
obc_o0_JSMB,12.12,60.59,71.06,82.69,151.48,177.65
obc_o1_J,12.02,60.44,70.97,80.39,151.1,177.42
obc_o1_JSMB,12.58,60.85,71.2,79.25,152.12,178.0
obc_o2_J,12.82,60.67,71.2,76.92,151.68,178.0
obc_o2_JSMB,12.05,60.58,71.04,77.78,151.45,177.6
obc_o3_J,12.12,60.21,70.64,73.08,150.52,176.6
obc_o3_JSMB,12.5,60.46,70.97,69.64,151.15,177.42
obc_os_J,8.98,58.79,69.26,63.54,146.98,173.15
obc_os_JSMB,9.45,58.99,69.47,65.0,147.48,173.68
