criterion,suite_size,score_111,score_1,obc,killed_111,killed_1
mcdc,18.68,61.06,3.64,,60.45,3.6
obc_o0_J,8.72,65.83,4.82,97.97,65.18,4.78
obc_o0_JSM,11.12,66.67,4.65,77.14,66.0,4.6
obc_o0_JSMB,11.55,66.57,4.75,77.14,65.9,4.7
obc_o0_JSML,11.22,66.36,4.95,69.98,65.7,4.9
obc_o1_J,6.82,64.44,4.07,75.34,63.8,4.03
obc_o1_JSM,9.82,66.24,4.9,71.1,65.58,4.85
obc_o1_JSMB,10.2,66.21,4.8,71.1,65.55,4.75
obc_o1_JSML,10.35,66.09,4.75,62.34,65.42,4.7
obc_o2_J,7.02,65.03,4.04,75.34,64.38,4.0
obc_o2_JSM,10.58,66.14,4.65,71.1,65.47,4.6
obc_o2_JSMB,10.48,66.29,4.39,71.1,65.62,4.35
obc_o2_JSML,9.98,66.16,5.0,62.34,65.5,4.95
obc_o3_J,7.05,65.35,4.29,75.34,64.7,4.25
obc_o3_JSM,10.35,66.01,4.75,71.1,65.35,4.7
obc_o3_JSMB,10.8,66.19,4.55,71.1,65.53,4.5
obc_o3_JSML,9.98,66.09,4.8,62.34,65.42,4.75
obc_os_J,6.95,64.57,4.07,75.34,63.92,4.03
obc_os_JSM,10.25,66.19,4.55,71.1,65.53,4.5
obc_os_JSMB,10.25,65.98,4.8,71.1,65.32,4.75
obc_os_JSML,10.78,66.21,4.65,62.34,65.55,4.6
