criterion,suite_size,score_111,score_1,obc,killed_111,killed_1
mcdc,18.42,60.48,3.43,,59.88,3.4
obc_o0_J,8.15,65.98,4.75,97.97,65.32,4.7
obc_o0_JSM,11.08,66.59,4.85,77.78,65.92,4.8
obc_o0_JSMB,11.05,66.52,4.9,77.78,65.85,4.85
obc_o0_JSML,11.75,66.97,4.6,72.4,66.3,4.55
obc_o1_J,2.8,49.67,1.92,85.71,49.18,1.9
obc_o1_JSM,5.95,63.11,3.61,42.68,62.48,3.58
obc_o1_JSMB,5.75,63.03,3.94,42.68,62.4,3.9
obc_o1_JSML,7.38,64.42,3.99,46.26,63.78,3.95
obc_o2_J,2.92,47.68,1.82,77.78,47.2,1.8
obc_o2_JSM,4.42,57.7,3.31,36.3,57.12,3.28
obc_o2_JSMB,4.7,58.03,3.48,36.3,57.45,3.45
obc_o2_JSML,6.8,61.31,3.48,50.35,60.7,3.45
obc_o3_J,2.52,48.48,1.72,77.78,48.0,1.7
obc_o3_JSM,4.75,59.07,3.38,36.3,58.48,3.35
obc_o3_JSMB,4.47,57.42,3.69,36.3,56.85,3.65
obc_o3_JSML,6.72,61.46,3.54,50.35,60.85,3.5
obc_os_J,2.88,50.2,1.57,77.78,49.7,1.55
obc_os_JSM,5.28,60.73,3.66,43.84,60.12,3.62
obc_os_JSMB,5.32,60.18,3.48,43.84,59.58,3.45
obc_os_JSML,7.38,64.67,3.89,55.56,64.03,3.85
