criterion,suite_size,score_111,score_1,obc,killed_111,killed_1
mcdc,17.77,60.48,3.36,,59.88,3.32
obc_o0_J,10.7,66.29,5.1,94.85,65.62,5.05
obc_o0_JSM,11.55,66.46,4.9,77.76,65.8,4.85
obc_o0_JSMB,10.95,66.54,4.95,77.76,65.88,4.9
obc_o0_JSML,10.6,66.36,4.9,78.93,65.7,4.85
obc_o1_J,5.2,62.58,3.01,55.77,61.95,2.98
obc_o1_JSM,5.52,62.68,2.8,40.62,62.05,2.78
obc_o1_JSMB,6.35,63.54,3.41,40.62,62.9,3.38
obc_o1_JSML,7.88,65.08,4.19,48.65,64.42,4.15
obc_o2_J,6.35,60.51,2.65,50.0,59.9,2.62
obc_o2_JSM,6.58,61.29,2.95,41.33,60.68,2.92
obc_o2_JSMB,6.48,61.01,2.95,41.33,60.4,2.92
obc_o2_JSML,9.35,66.16,4.97,48.4,65.5,4.92
obc_o3_J,7.42,62.63,3.59,46.51,62.0,3.55
obc_o3_JSM,7.48,62.5,3.21,40.62,61.88,3.18
obc_o3_JSMB,7.38,62.58,3.43,40.62,61.95,3.4
obc_o3_JSML,8.15,65.43,4.52,47.1,64.78,4.47
obc_os_J,2.8,50.3,1.89,40.0,49.8,1.88
obc_os_JSM,6.6,64.42,4.32,33.33,63.78,4.28
obc_os_JSMB,6.18,63.46,4.09,33.33,62.82,4.05
obc_os_JSML,7.18,63.81,3.86,40.2,63.18,3.82
