criterion,suite_size,score_1442,score_11,obc,killed_1442,killed_11
mcdc,38.2,60.3,16.73,,60.3,16.73
obc_o0_J,15.42,66.18,20.52,97.76,66.18,20.52
obc_o0_JSM,22.95,67.45,20.92,87.81,67.45,20.92
obc_o0_JSMB,22.5,67.2,20.85,87.81,67.2,20.85
obc_o0_JSML,23.45,66.88,21.25,80.46,66.88,21.25
obc_o1_J,13.9,66.58,20.8,92.88,66.58,20.8
obc_o1_JSM,22.48,67.47,21.05,84.89,67.47,21.05
obc_o1_JSMB,22.48,66.62,20.65,84.89,66.62,20.65
obc_o1_JSML,23.02,67.12,20.8,76.69,67.12,20.8
obc_o2_J,14.32,66.6,20.78,92.88,66.6,20.78
obc_o2_JSM,21.9,66.95,21.02,84.89,66.95,21.02
obc_o2_JSMB,22.52,67.45,21.12,84.89,67.45,21.12
obc_o2_JSML,22.92,67.32,20.78,76.69,67.32,20.78
obc_o3_J,14.92,66.3,20.3,92.88,66.3,20.3
obc_o3_JSM,23.18,66.97,20.95,84.89,66.97,20.95
obc_o3_JSMB,23.18,66.6,21.38,84.89,66.6,21.38
obc_o3_JSML,22.98,67.22,21.1,76.69,67.22,21.1
obc_os_J,13.92,66.45,20.98,92.88,66.45,20.98
obc_os_JSM,22.62,67.05,21.22,84.89,67.05,21.22
obc_os_JSMB,21.88,67.08,20.92,84.89,67.08,20.92
obc_os_JSML,22.18,67.05,20.52,76.69,67.05,20.52
