criterion,suite_size,score_1442,score_11,obc,killed_1442,killed_11
mcdc,38.52,60.78,17.5,,60.78,17.5
obc_o0_J,14.9,66.75,20.58,97.76,66.75,20.58
obc_o0_JSM,23.98,67.32,20.78,88.14,67.32,20.78
obc_o0_JSMB,23.45,66.95,21.08,88.14,66.95,21.08
obc_o0_JSML,22.58,66.9,21.1,83.03,66.9,21.1
obc_o1_J,4.2,57.35,15.18,79.87,57.35,15.18
obc_o1_JSM,14.38,66.88,20.42,37.7,66.88,20.42
obc_o1_JSMB,14.48,67.05,20.35,37.7,67.05,20.35
obc_o1_JSML,17.55,66.58,20.6,46.39,66.58,20.6
obc_o2_J,3.6,57.45,15.4,67.05,57.45,15.4
obc_o2_JSM,10.98,65.78,20.05,34.32,65.78,20.05
obc_o2_JSMB,10.98,66.03,19.7,34.32,66.03,19.7
obc_o2_JSML,13.65,66.1,20.5,47.11,66.1,20.5
obc_o3_J,3.55,57.65,15.12,67.05,57.65,15.12
obc_o3_JSM,11.62,65.75,20.35,34.32,65.75,20.35
obc_o3_JSMB,10.85,66.1,20.58,34.32,66.1,20.58
obc_o3_JSML,15.18,66.25,20.27,47.11,66.25,20.27
obc_os_J,3.8,57.5,15.2,78.41,57.5,15.2
obc_os_JSM,11.45,65.5,20.38,51.07,65.5,20.38
obc_os_JSMB,11.9,65.68,20.32,51.07,65.68,20.32
obc_os_JSML,14.18,66.32,20.42,57.89,66.32,20.42
