criterion,suite_size,score_892,score_5,obc,killed_892,killed_5
mcdc,27.75,73.47,15.7,,73.47,15.7
obc_o0_J,11.7,68.82,12.5,99.71,68.82,12.5
obc_o0_JSMB,15.25,72.12,13.45,91.92,72.12,13.45
obc_o1_J,11.2,70.5,12.98,96.17,70.5,12.98
obc_o1_JSMB,14.7,72.55,14.05,88.34,72.55,14.05
obc_o2_J,11.68,69.35,12.98,96.17,69.35,12.98
obc_o2_JSMB,14.92,72.1,13.78,88.34,72.1,13.78
obc_o3_J,10.92,70.6,13.2,96.17,70.6,13.2
obc_o3_JSMB,14.65,72.72,13.5,88.34,72.72,13.5
obc_os_J,10.75,69.68,12.82,96.17,69.68,12.82
obc_os_JSMB,14.85,72.08,13.35,88.34,72.08,13.35
