criterion,suite_size,score_892,score_5,obc,killed_892,killed_5
mcdc,27.68,73.9,15.58,,73.9,15.58
obc_o0_J,11.12,70.35,13.02,99.71,70.35,13.02
obc_o0_JSMB,14.88,73.22,13.98,92.88,73.22,13.98
obc_o1_J,4.88,59.72,10.05,80.56,59.72,10.05
obc_o1_JSMB,9.52,69.32,12.78,55.58,69.32,12.78
obc_o2_J,5.22,59.75,10.75,80.0,59.75,10.75
obc_o2_JSMB,11.42,71.3,13.22,60.04,71.3,13.22
obc_o3_J,5.08,59.88,10.4,80.0,59.88,10.4
obc_o3_JSMB,12.22,71.5,13.32,60.04,71.5,13.32
obc_os_J,4.95,59.28,10.15,80.0,59.28,10.15
obc_os_JSMB,12.7,72.4,13.3,67.52,72.4,13.3
