criterion,suite_size,score_892,score_5,obc,killed_892,killed_5
mcdc,28.48,74.4,15.25,,74.4,15.25
obc_o0_J,14.65,72.72,13.78,99.46,72.72,13.78
obc_o0_JSMB,15.22,72.28,13.45,92.66,72.28,13.45
obc_o1_J,5.12,56.05,8.5,17.13,56.05,8.5
obc_o1_JSMB,10.0,70.22,12.98,37.27,70.22,12.98
obc_o2_J,5.75,62.2,10.32,24.39,62.2,10.32
obc_o2_JSMB,10.48,69.7,12.82,47.34,69.7,12.82
obc_o3_J,5.62,61.4,9.72,26.52,61.4,9.72
obc_o3_JSMB,10.5,69.9,12.92,44.79,69.9,12.92
obc_os_J,5.55,58.25,8.95,29.02,58.25,8.95
obc_os_JSMB,7.72,61.92,10.68,49.15,61.92,10.68
