criterion,suite_size,score_11,score_105,obc,killed_11,killed_105
mcdc,30.05,65.89,73.51,,66.55,74.25
obc_o0_J,5.6,52.23,60.57,97.89,52.75,61.18
obc_o0_JSMB,7.72,58.24,65.69,85.28,58.82,66.35
obc_o1_J,5.1,51.78,60.17,86.06,52.3,60.78
obc_o1_JSMB,7.68,58.17,65.77,80.22,58.75,66.42
obc_o2_J,5.3,52.7,60.87,86.06,53.22,61.48
obc_o2_JSMB,7.55,57.4,65.12,80.22,57.98,65.78
obc_o3_J,5.3,52.18,60.37,86.06,52.7,60.98
obc_o3_JSMB,7.12,56.83,64.41,80.22,57.4,65.05
obc_os_J,5.35,52.1,60.5,87.27,52.62,61.1
obc_os_JSMB,7.2,56.41,64.16,80.65,56.98,64.8
