criterion,suite_size,score_11,score_105,obc,killed_11,killed_105
mcdc,29.88,65.02,73.02,,65.68,73.75
obc_o0_J,9.15,59.26,66.86,82.0,59.85,67.53
obc_o0_JSMB,12.12,64.8,71.91,86.76,65.45,72.62
obc_o1_J,11.8,65.17,72.45,82.0,65.82,73.18
obc_o1_JSMB,11.55,65.07,72.25,82.35,65.72,72.97
obc_o2_J,11.92,64.65,71.91,82.0,65.3,72.62
obc_o2_JSMB,11.22,64.88,72.1,82.35,65.53,72.82
obc_o3_J,10.82,64.26,71.41,82.0,64.9,72.12
obc_o3_JSMB,12.02,64.95,72.15,82.35,65.6,72.88
obc_os_J,11.1,64.01,71.09,82.0,64.65,71.8
obc_os_JSMB,12.05,64.73,71.96,82.35,65.38,72.68
