criterion,suite_size,score_11,score_105,obc,killed_11,killed_105
mcdc,29.5,65.32,73.09,,65.97,73.82
obc_o0_J,5.62,52.67,61.31,97.89,53.2,61.92
obc_o0_JSMB,7.4,56.46,63.96,87.77,57.02,64.6
obc_o1_J,1.98,37.33,48.39,71.05,37.7,48.88
obc_o1_JSMB,4.9,51.39,59.83,55.97,51.9,60.42
obc_o2_J,1.32,35.02,46.41,58.33,35.38,46.88
obc_o2_JSMB,4.95,52.3,60.32,49.2,52.82,60.92
obc_o3_J,1.48,27.85,40.15,58.33,28.12,40.55
obc_o3_JSMB,5.1,52.2,60.64,49.2,52.72,61.25
obc_os_J,1.55,30.15,42.55,66.67,30.45,42.98
obc_os_JSMB,4.15,49.88,58.39,53.2,50.38,58.98
