criterion,suite_size,score_11,score_105,obc,killed_11,killed_105
mcdc,30.08,64.28,72.3,,64.92,73.03
obc_o0_J,12.35,65.07,72.33,84.69,65.72,73.05
obc_o0_JSMB,11.88,64.63,71.83,85.0,65.28,72.55
obc_o1_J,10.28,60.3,67.8,80.43,60.9,68.47
obc_o1_JSMB,11.75,61.61,68.91,80.39,62.22,69.6
obc_o2_J,9.98,60.25,67.8,68.48,60.85,68.47
obc_o2_JSMB,9.62,60.74,68.29,68.27,61.35,68.97
obc_o3_J,9.52,60.1,67.6,68.48,60.7,68.28
obc_o3_JSMB,9.62,59.6,67.03,68.27,60.2,67.7
obc_os_J,9.68,60.5,67.85,68.48,61.1,68.53
obc_os_JSMB,10.5,60.54,68.07,68.27,61.15,68.75
