criterion,suite_size,score_11,score_105,obc,killed_11,killed_105
mcdc,29.55,65.54,73.49,,66.2,74.22
obc_o0_J,11.8,65.37,72.55,82.35,66.03,73.28
obc_o0_JSMB,12.22,65.27,72.45,82.69,65.92,73.18
obc_o1_J,11.95,65.3,72.57,80.39,65.95,73.3
obc_o1_JSMB,11.52,64.53,71.71,79.25,65.18,72.42
obc_o2_J,11.95,64.6,71.83,76.92,65.25,72.55
obc_o2_JSMB,12.4,64.31,71.39,77.78,64.95,72.1
obc_o3_J,12.45,65.05,72.28,73.08,65.7,73.0
obc_o3_JSMB,12.05,64.53,71.66,69.64,65.18,72.38
obc_os_J,10.02,64.03,71.36,63.54,64.68,72.08
obc_os_JSMB,9.75,63.32,70.42,65.0,63.95,71.12
