type,addr,taken,fell
L,0x40067b,1,0
J,0x40067e,1,0
L,0x40078c,1,0
J,0x400791,0,1
L,0x4007a4,0,1
J,0x4007a7,1,0
L,0x4007c6,1,0
J,0x4007cf,0,1
L,0x40080a,1,0
L,0x40081e,1,0
L,0x40091b,0,2812
J,0x40091e,0,2812
L,0x400938,2812,1150
J,0x40093b,1150,2812
L,0x400943,2812,0
L,0x400945,0,2812
L,0x4009cc,1,2811
J,0x400a53,2811,1
L,0x400a70,1,0
L,0x400a77,1,0
L,0x400a90,1,0
L,0x400a99,0,1
J,0x400ad3,1,0
J,0x400b21,1,0
J,0x400b47,0,1
J,0x400b69,0,1
L,0x400da5,1150,2812
J,0x400da8,1150,2812
L,0x400dba,2812,0
L,0x400dc7,2812,0
L,0x400dcf,1144,2818
J,0x400dd1,1144,2818
L,0x400dd3,2605,213
J,0x400dd5,213,2605
L,0x400dde,1147,2602
J,0x400de4,1147,2602
L,0x400ded,2602,0
L,0x400def,2545,57
S,0x400df1,2545,57
S,0x400df5,57,2545
L,0x400e04,1144,2818
S,0x400e0a,2818,1144
L,0x400e0f,3688,274
S,0x400e16,3688,274
S,0x400e25,2001,1961
L,0x400e28,3962,0
L,0x400e2a,2052,1910
L,0x400e2c,2146,1816
S,0x400e39,428,3534
L,0x400e3c,3388,574
J,0x400e44,3534,428
J,0x400e4e,173,255
L,0x400e79,1150,2812
J,0x400e7c,2812,1150
L,0x400e88,1051,99
S,0x400e8a,99,1051
L,0x400e8d,1051,99
L,0x400ea4,563,587
S,0x400eae,563,587
L,0x400eb1,938,212
J,0x400eb7,212,938
L,0x400ebd,886,52
L,0x400edb,1150,0
J,0x400ee2,1150,0
S,0x400eee,1752,1060
S,0x400ef6,1796,1016
L,0x400ef9,5,2807
L,0x400efb,0,2812
J,0x400f03,2812,0
S,0x400f22,970,180
L,0x400f26,387,763
L,0x400f2b,1110,40
S,0x400f2d,1110,40
L,0x400f30,419,731
L,0x400f32,1150,0
